X Coordinate,Y Coordinate
-3010.0,-3000.0
-2510.0,-3000.0
-3010.0,-2500.0
-2510.0,-2500.0
-3010.0,-2000.0
-2510.0,-2000.0
-3010.0,-1500.0
-2510.0,-1500.0
-3010.0,-1000.0
-2510.0,-1000.0
-3010.0,-500.0
-2510.0,-500.0
-3010.0,0.0
-2510.0,0.0
-3010.0,500.0
-2510.0,500.0
-3010.0,1000.0
-2510.0,1000.0
-3010.0,1500.0
-2510.0,1500.0
-3010.0,2000.0
-2510.0,2000.0
-3010.0,2500.0
-2510.0,2500.0
-3010.0,3000.0
-2510.0,3000.0
2990.0,-3000.0
2490.0,-3000.0
2990.0,-2500.0
2490.0,-2500.0
2990.0,-2000.0
2490.0,-2000.0
2990.0,-1500.0
2490.0,-1500.0
2990.0,-1000.0
2490.0,-1000.0
2990.0,-500.0
2490.0,-500.0
2990.0,0.0
2490.0,0.0
2990.0,500.0
2490.0,500.0
2990.0,1000.0
2490.0,1000.0
2990.0,1500.0
2490.0,1500.0
2990.0,2000.0
2490.0,2000.0
2990.0,2500.0
2490.0,2500.0
